,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
2819,,,v faba,,,,n,EN4097,asm,no,inclusive
2820,,,juadaism,,,,n,EN4557,ps,yes,inclusive
2821,,,miscreants,,,,n,EN1746,an,no,conservative
2822,,,mischiefs,,,,n,EN1150,cds,no,conservative
2823,,,inferiorly,,,,n,EN3213,om,no,inclusive
2824,,,fascsim,,,,n,EN4063,cds,no,conservative
2825,,,kocroch,,,,n,EN7426,an,no,inclusive
2826,,,villians,,,,n,EN1752,is,yes,conservative
2827,,,whoresons,,,,n,EN1327,cds,no,inclusive
2828,,,puerile,,,,a,EN7146,ddp,yes,inclusive
2829,,,plagerism,,,,n,EN6941,re,no,inclusive
2830,,,primate,,,,n,EN4624,cds,no,inclusive
2831,,,reactionary,,,,n,EN4252,cds,no,conservative
2832,,,deciept,,,,n,EN2930,dmc,yes,conservative
2833,,,chiseler,,,,n,EN2038,cds,no,inclusive
2834,,,illiterate,,,,a,EN364,ddp,yes,inclusive
2835,,,witcracker,,,,n,EN3920,dmc,yes,inclusive
2836,,,immoralisation,,,,n,EN3593,dmc,yes,inclusive
2837,,,lampyris obscurella,,,,n,EN7574,an,no,inclusive
2838,,,romanis,,,,n,EN8187,ps,yes,inclusive
2839,,,beguiles,,,,n,EN2894,dmc,yes,conservative
2840,,,cardinal vices,,,,n,EN591,svp,no,inclusive
2841,,,microoerganisms,,,,n,EN5890,an,no,inclusive
2842,,,municipal compost,,,,n,EN2593,qas,no,inclusive
2843,,,greenhorn,,,,n,EN2794,cds,no,conservative
2844,,,sex anal,,,,n,EN273,om,no,inclusive
2845,,,niggard,,,,n,EN616,svp,no,conservative
2846,,,cretin,,,,n,EN1902,ps,yes,conservative
2847,,,ruralist,,,,n,EN2511,qas,no,inclusive
2848,,,skinflint,,,,n,EN613,svp,no,conservative
2849,,,bozo,,,,n,EN506,ddp,yes,conservative
2850,,,defames,,,,n,EN1971,re,no,inclusive
2851,,,casteism,,,,n,EN2227,qas,no,inclusive
2852,,,waster,,,,n,EN2997,ps,yes,conservative
2853,,,iason chronis,,,,n,EN3954,cds,no,inclusive
2854,,,gadabout,,,,n,EN4053,dmc,yes,inclusive
2855,,,can,,,,n,EN3318,om,no,inclusive
2856,,,professeur,,,,n,EN4948,cds,no,inclusive
2857,,,slandering,,,,n,EN1969,re,no,inclusive
2858,,,slip of the tongue,,,,n,EN6565,cds,no,inclusive
2859,,,fundamentalist,,,,n,EN4029,cds,no,inclusive
2860,,,hindquarters,,,,n,EN3309,om,no,inclusive
